run_ts_ist,location,lat,lon,line,obs_time,precip_mm,rain_mm,source
2026-06-25 21:47:51,Virar,19.455,72.811,WR,2026-06-25T21:45,0.1,0.1,open-meteo
2026-06-25 21:47:51,CSMT,18.94,72.835,CR,2026-06-25T21:45,0.1,0.0,open-meteo
2026-06-25 21:47:51,Sion,19.043,72.862,CR-hotspot,2026-06-25T21:45,0.1,0.0,open-meteo
2026-06-25 21:47:51,Kurla,19.065,72.879,CR-hotspot,,,,open-meteo-ERR
2026-06-25 21:47:51,Thane,19.186,72.975,CR,2026-06-25T21:45,0.1,0.0,open-meteo
2026-06-25 21:47:51,Kalyan,19.243,73.13,CR,2026-06-25T21:45,0.0,0.0,open-meteo
2026-06-25 21:47:51,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-25T21:45,0.1,0.0,open-meteo
2026-06-25 21:47:51,Matunga,19.027,72.852,CR-hotspot,2026-06-25T21:45,0.1,0.0,open-meteo
2026-06-26 00:00:17,Churchgate,18.935,72.827,WR,2026-06-26T00:00,0.0,0.0,open-meteo
2026-06-26 00:00:17,Dadar,19.018,72.844,WR/CR,2026-06-26T00:00,0.0,0.0,open-meteo
2026-06-26 00:00:17,Andheri,19.119,72.846,WR,2026-06-26T00:00,0.2,0.2,open-meteo
2026-06-26 00:00:17,Borivali,19.231,72.857,WR,2026-06-26T00:00,0.1,0.1,open-meteo
2026-06-26 00:00:17,Virar,19.455,72.811,WR,2026-06-26T00:00,0.2,0.1,open-meteo
2026-06-26 00:00:17,CSMT,18.94,72.835,CR,2026-06-26T00:00,0.0,0.0,open-meteo
2026-06-26 00:00:17,Sion,19.043,72.862,CR-hotspot,2026-06-26T00:00,0.0,0.0,open-meteo
2026-06-26 00:00:17,Kurla,19.065,72.879,CR-hotspot,2026-06-26T00:00,0.2,0.2,open-meteo
2026-06-26 00:00:17,Thane,19.186,72.975,CR,2026-06-26T00:00,0.1,0.1,open-meteo
2026-06-26 00:00:17,Kalyan,19.243,73.13,CR,2026-06-26T00:00,0.2,0.1,open-meteo
2026-06-26 00:00:17,Chunnabhatti,19.046,72.875,Harbour-hotspot,,,,open-meteo-ERR
2026-06-26 00:00:17,Matunga,19.027,72.852,CR-hotspot,2026-06-26T00:00,0.0,0.0,open-meteo
2026-06-26 02:22:48,Churchgate,18.935,72.827,WR,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 02:22:48,Dadar,19.018,72.844,WR/CR,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 02:22:48,Andheri,19.119,72.846,WR,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 02:22:48,Borivali,19.231,72.857,WR,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 02:22:48,Virar,19.455,72.811,WR,,,,open-meteo-ERR
2026-06-26 02:22:48,CSMT,18.94,72.835,CR,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 02:22:48,Sion,19.043,72.862,CR-hotspot,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 02:22:48,Kurla,19.065,72.879,CR-hotspot,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 02:22:48,Thane,19.186,72.975,CR,,,,open-meteo-ERR
2026-06-26 02:22:48,Kalyan,19.243,73.13,CR,2026-06-26T02:15,0.0,0.0,open-meteo
2026-06-26 02:22:48,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-26T02:15,0.0,0.0,open-meteo
